,en,ar
62,"and recall that we said, “enter this town, and eat plentifully from it whatever you wish; but enter the gate humbly, and say, 'pardon.' we will forgive your sins, and give increase to the virtuous.”",وَإِذ قُلنَا ادخُلوا هٰذِهِ القَريَةَ فَكُلوا مِنها حَيثُ شِئتُم رَغَدًا وَادخُلُوا البابَ سُجَّدًا وَقولوا حِطَّةٌ نَغفِر لَكُم خَطاياكُم وَسَنَزيدُ المُحسِنينَ
63,"but the wrongdoers among them substituted words other than those given to them, so we sent down on the wrongdoers a plague from heaven, because of their wicked behavior.",فَبَدَّلَ الَّذينَ ظَلَموا قَولًا غَيرَ الَّذي قيلَ لَهُم فَأَنزَلنا عَلَى الَّذينَ ظَلَموا رِجزًا مِنَ السَّماءِ بِما كانوا يَفسُقونَ
64,"and recall when moses prayed for water for his people. we said, “strike the rock with your staff.” thereupon twelve springs gushed out from it, and each tribe recognized its drinking-place. “eat and drink from god’s provision, and do not corrupt the earth with disobedience.”",وَإِذِ استَسقىٰ موسىٰ لِقَومِهِ فَقُلنَا اضرِب بِعَصاكَ الحَجَرَ فَانفَجَرَت مِنهُ اثنَتا عَشرَةَ عَينًا قَد عَلِمَ كُلُّ أُناسٍ مَشرَبَهُم كُلوا وَاشرَبوا مِن رِزقِ اللَّهِ وَلا تَعثَوا فِي الأَرضِ مُفسِدينَ
65,"and recall when you said, “o moses, we cannot endure one kind of food, so call to your lord to produce for us of what the earth grows: of its herbs, and its cucumbers, and its garlic, and its lentils, and its onions.” he said, “would you substitute worse for better? go down to egypt, where you will have what you asked for.” they were struck with humiliation and poverty, and incurred wrath from god. that was because they rejected god’s revelations and wrongfully killed the prophets. that was because they disobeyed and transgressed.",وَإِذ قُلتُم يا موسىٰ لَن نَصبِرَ عَلىٰ طَعامٍ واحِدٍ فَادعُ لَنا رَبَّكَ يُخرِج لَنا مِمّا تُنبِتُ الأَرضُ مِن بَقلِها وَقِثّائِها وَفومِها وَعَدَسِها وَبَصَلِها قالَ أَتَستَبدِلونَ الَّذي هُوَ أَدنىٰ بِالَّذي هُوَ خَيرٌ اهبِطوا مِصرًا فَإِنَّ لَكُم ما سَأَلتُم وَضُرِبَت عَلَيهِمُ الذِّلَّةُ وَالمَسكَنَةُ وَباءوا بِغَضَبٍ مِنَ اللَّهِ ذٰلِكَ بِأَنَّهُم كانوا يَكفُرونَ بِآياتِ اللَّهِ وَيَقتُلونَ النَّبِيّينَ بِغَيرِ الحَقِّ ذٰلِكَ بِما عَصَوا وَكانوا يَعتَدونَ
66,"those who believe, and those who are jewish, and the christians, and the sabeans—any who believe in god and the last day, and act righteously—will have their reward with their lord; they have nothing to fear, nor will they grieve.",إِنَّ الَّذينَ آمَنوا وَالَّذينَ هادوا وَالنَّصارىٰ وَالصّابِئينَ مَن آمَنَ بِاللَّهِ وَاليَومِ الآخِرِ وَعَمِلَ صالِحًا فَلَهُم أَجرُهُم عِندَ رَبِّهِم وَلا خَوفٌ عَلَيهِم وَلا هُم يَحزَنونَ
67,"and recall when we received a pledge from you, and raised the mount above you: “take what we have given you earnestly, and remember what is in it, that you may attain righteousness.”",وَإِذ أَخَذنا ميثاقَكُم وَرَفَعنا فَوقَكُمُ الطّورَ خُذوا ما آتَيناكُم بِقُوَّةٍ وَاذكُروا ما فيهِ لَعَلَّكُم تَتَّقونَ
68,"but after that you turned away. were it not for god’s grace and mercy towards you, you would have been among the losers.",ثُمَّ تَوَلَّيتُم مِن بَعدِ ذٰلِكَ فَلَولا فَضلُ اللَّهِ عَلَيكُم وَرَحمَتُهُ لَكُنتُم مِنَ الخاسِرينَ
69,"and you surely knew those of you who violated the sabbath. we said to them, “be despicable apes!”",وَلَقَد عَلِمتُمُ الَّذينَ اعتَدَوا مِنكُم فِي السَّبتِ فَقُلنا لَهُم كونوا قِرَدَةً خاسِئينَ
70,"thus we made it a deterrent for their generation, and for subsequent generations, and a lesson for the righteous.",فَجَعَلناها نَكالًا لِما بَينَ يَدَيها وَما خَلفَها وَمَوعِظَةً لِلمُتَّقينَ
71,"and recall when moses said to his people, “god commands you to sacrifice a heifer.” they said, “do you make a mockery of us?” he said, “god forbid that i should be so ignorant.”",وَإِذ قالَ موسىٰ لِقَومِهِ إِنَّ اللَّهَ يَأمُرُكُم أَن تَذبَحوا بَقَرَةً قالوا أَتَتَّخِذُنا هُزُوًا قالَ أَعوذُ بِاللَّهِ أَن أَكونَ مِنَ الجاهِلينَ
72,"they said, “call upon your lord to show us which one.” he said, “he says she is a heifer, neither too old, nor too young, but in between. so do what you are commanded.”",قالُوا ادعُ لَنا رَبَّكَ يُبَيِّن لَنا ما هِيَ قالَ إِنَّهُ يَقولُ إِنَّها بَقَرَةٌ لا فارِضٌ وَلا بِكرٌ عَوانٌ بَينَ ذٰلِكَ فَافعَلوا ما تُؤمَرونَ
73,"they said, “call upon your lord to show us what her color is.” he said, “he says she is a yellow heifer, bright in color, pleasing to the beholders.”",قالُوا ادعُ لَنا رَبَّكَ يُبَيِّن لَنا ما لَونُها قالَ إِنَّهُ يَقولُ إِنَّها بَقَرَةٌ صَفراءُ فاقِعٌ لَونُها تَسُرُّ النّاظِرينَ
74,"they said, “call upon your lord to show us which one; the heifers look alike to us; and god willing, we will be guided.”",قالُوا ادعُ لَنا رَبَّكَ يُبَيِّن لَنا ما هِيَ إِنَّ البَقَرَ تَشابَهَ عَلَينا وَإِنّا إِن شاءَ اللَّهُ لَمُهتَدونَ
75,"he said, “he says she is a heifer, neither yoked to plow the earth, nor to irrigate the field; sound without blemish.” they said, “now you have brought the truth.” so they slew her; though they almost did not.",قالَ إِنَّهُ يَقولُ إِنَّها بَقَرَةٌ لا ذَلولٌ تُثيرُ الأَرضَ وَلا تَسقِي الحَرثَ مُسَلَّمَةٌ لا شِيَةَ فيها قالُوا الآنَ جِئتَ بِالحَقِّ فَذَبَحوها وَما كادوا يَفعَلونَ
76,"and recall when you killed a person, and disputed in the matter; but god was to expose what you were hiding.",وَإِذ قَتَلتُم نَفسًا فَادّارَأتُم فيها وَاللَّهُ مُخرِجٌ ما كُنتُم تَكتُمونَ
77,"we said, “strike him with part of it.” thus god brings the dead to life; and he shows you his signs, that you may understand.",فَقُلنَا اضرِبوهُ بِبَعضِها كَذٰلِكَ يُحيِي اللَّهُ المَوتىٰ وَيُريكُم آياتِهِ لَعَلَّكُم تَعقِلونَ
78,"then after that your hearts hardened. they were as rocks, or even harder. for there are some rocks from which rivers gush out, and others that splinter and water comes out from them, and others that sink in awe of god. god is not unaware of what you do.",ثُمَّ قَسَت قُلوبُكُم مِن بَعدِ ذٰلِكَ فَهِيَ كَالحِجارَةِ أَو أَشَدُّ قَسوَةً وَإِنَّ مِنَ الحِجارَةِ لَما يَتَفَجَّرُ مِنهُ الأَنهارُ وَإِنَّ مِنها لَما يَشَّقَّقُ فَيَخرُجُ مِنهُ الماءُ وَإِنَّ مِنها لَما يَهبِطُ مِن خَشيَةِ اللَّهِ وَمَا اللَّهُ بِغافِلٍ عَمّا تَعمَلونَ
79,"do you hope that they will believe in you, when some of them used to hear the word of god, and then deliberately distort it, even after understanding it?",أَفَتَطمَعونَ أَن يُؤمِنوا لَكُم وَقَد كانَ فَريقٌ مِنهُم يَسمَعونَ كَلامَ اللَّهِ ثُمَّ يُحَرِّفونَهُ مِن بَعدِ ما عَقَلوهُ وَهُم يَعلَمونَ
80,"and when they come across those who believe, they say, “we believe,” but when they come together privately, they say, “will you inform them of what god has disclosed to you, so that they might dispute with you concerning it before your lord?” do you not understand?",وَإِذا لَقُوا الَّذينَ آمَنوا قالوا آمَنّا وَإِذا خَلا بَعضُهُم إِلىٰ بَعضٍ قالوا أَتُحَدِّثونَهُم بِما فَتَحَ اللَّهُ عَلَيكُم لِيُحاجّوكُم بِهِ عِندَ رَبِّكُم أَفَلا تَعقِلونَ
81,do they not know that god knows what they conceal and what they reveal?,أَوَلا يَعلَمونَ أَنَّ اللَّهَ يَعلَمُ ما يُسِرّونَ وَما يُعلِنونَ
82,"and among them are uneducated who know the scripture only through hearsay, and they only speculate.",وَمِنهُم أُمِّيّونَ لا يَعلَمونَ الكِتابَ إِلّا أَمانِيَّ وَإِن هُم إِلّا يَظُنّونَ
83,"so woe to those who write the scripture with their own hands, and then say, “this is from god,” that they may exchange it for a little price. woe to them for what their hands have written, and woe to them for what they earn.",فَوَيلٌ لِلَّذينَ يَكتُبونَ الكِتابَ بِأَيديهِم ثُمَّ يَقولونَ هٰذا مِن عِندِ اللَّهِ لِيَشتَروا بِهِ ثَمَنًا قَليلًا فَوَيلٌ لَهُم مِمّا كَتَبَت أَيديهِم وَوَيلٌ لَهُم مِمّا يَكسِبونَ
84,"and they say, “the fire will not touch us except for a number of days.” say, “have you received a promise from god—god never breaks his promise—or are you saying about god what you do not know?”",وَقالوا لَن تَمَسَّنَا النّارُ إِلّا أَيّامًا مَعدودَةً قُل أَتَّخَذتُم عِندَ اللَّهِ عَهدًا فَلَن يُخلِفَ اللَّهُ عَهدَهُ أَم تَقولونَ عَلَى اللَّهِ ما لا تَعلَمونَ
85,"indeed, whoever commits misdeeds, and becomes besieged by his iniquities—these are the inmates of the fire, wherein they will dwell forever.",بَلىٰ مَن كَسَبَ سَيِّئَةً وَأَحاطَت بِهِ خَطيئَتُهُ فَأُولٰئِكَ أَصحابُ النّارِ هُم فيها خالِدونَ
86,"as for those who believe and do righteous deeds—these are the inhabitants of paradise, wherein they will dwell forever.",وَالَّذينَ آمَنوا وَعَمِلُوا الصّالِحاتِ أُولٰئِكَ أَصحابُ الجَنَّةِ هُم فيها خالِدونَ
87,"we made a covenant with the children of israel: “worship none but god; and be good to parents, and relatives, and orphans, and the needy; and speak nicely to people; and pray regularly, and give alms.” then you turned away, except for a few of you, recanting.",وَإِذ أَخَذنا ميثاقَ بَني إِسرائيلَ لا تَعبُدونَ إِلَّا اللَّهَ وَبِالوالِدَينِ إِحسانًا وَذِي القُربىٰ وَاليَتامىٰ وَالمَساكينِ وَقولوا لِلنّاسِ حُسنًا وَأَقيمُوا الصَّلاةَ وَآتُوا الزَّكاةَ ثُمَّ تَوَلَّيتُم إِلّا قَليلًا مِنكُم وَأَنتُم مُعرِضونَ
88,"and we made a covenant with you: “you shall not shed the blood of your own, nor shall you evict your own from your homes.” you agreed, and were all witnesses.",وَإِذ أَخَذنا ميثاقَكُم لا تَسفِكونَ دِماءَكُم وَلا تُخرِجونَ أَنفُسَكُم مِن دِيارِكُم ثُمَّ أَقرَرتُم وَأَنتُم تَشهَدونَ
