,Arabic,English
20,مَنْ قَامَ رَمَضَانَ إِيمَانًا وَاحْتِسَابًا غُفِرَ لَهُ مَا تَقَدَّمَ مِنْ ذَنْبِهِ,"Whoever stands in prayer during Ramadan due to faith and seeking reward, his previous sins will be forgiven."
21,مَنْ صَامَ رَمَضَانَ وَعَرَفَ حُدُودَهُ وَتَحَفَّظَ مِمَّا كَانَ يَنْبَغِي لَهُ أَنْ يَتَحَفَّظَ فِيهِ كَفَّرَ مَا قَبْلَهُ,"Whoever fasts the month of Ramadan, acknowledging its limits and guarding it as it should be, then it will expiate the sins which came before it."
22,إِنَّ رَمَضَانَ شَهْرٌ افْتَرَضَ اللَّهُ عَزَّ وَجَلَّ صِيَامَهُ وَإِنِّي سَنَنْتُ لِلْمُسْلِمِينَ قِيَامَهُ فَمَنْ صَامَهُ إِيمَانًا وَاحْتِسَابًا خَرَجَ مِنْ الذُّنُوبِ كَيَوْمِ وَلَدَتْهُ أُمُّهُ,"Verily, Ramadan is a month in which Allah Almighty has obligated its fasting. I have instituted for Muslims the practice of prayer at night. Thus, whoever fasts it with faith and expecting reward will be rid of sins like the day he was born from his mother."
23,إِنَّ لِلَّهِ عُتَقَاءَ فِي كُلِّ يَوْمٍ وَلَيْلَةٍ يعني في رمضان لِكُلِّ عَبْدٍ مِنْهُمْ دَعْوَةٌ مُسْتَجَابَةٌ,"Verily, Allah has people He redeems in every day and night of Ramadan, and every servant among them has a supplication that will be answered."
24,إِنَّهُ مَنْ قَامَ مَعَ الإِمَامِ يعنى في رمضان حَتَّى يَنْصَرِفَ كُتِبَ لَهُ قِيَامُ لَيْلَةٍ,"Verily, whoever stands for prayer in Ramadan with the Imam until he is finished, it will be recorded as if he prayed the entire night."
25,إِنَّ عُمْرَةً فِي رَمَضَانَ حَجَّةٌ,"Verily, the Umrah pilgrimage during Ramadan is equal to Hajj."
26,كَانَ رَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ أَجْوَدَ النَّاسِ وَكَانَ أَجْوَدُ مَا يَكُونُ فِي رَمَضَانَ حِينَ يَلْقَاهُ جِبْرِيلُ وَكَانَ يَلْقَاهُ فِي كُلِّ لَيْلَةٍ مِنْ رَمَضَانَ فَيُدَارِسُهُ القُرْآنَ فَلَرَسُولُ اللَّهِ صَلَّى اللهُ عَلَيْهِ وَسَلَّمَ أَجْوَدُ بِالخَيْرِ مِنَ الرِّيحِ المُرْسَلَةِ,"The Messenger of Allah, peace and blessings be upon him, was the most generous of people and he was even more generous in Ramadan when Gabriel would meet him. He would meet him every night of Ramadan to study the Quran. Thus, the Prophet would be more generous than a nourishing wind."
27,أَسَرَّ إِلَيَّ إِنَّ جِبْرِيلَ كَانَ يُعَارِضُنِي الْقُرْآنَ كُلَّ سَنَةٍ مَرَّةً وَإِنَّهُ عَارَضَنِي الْعَامَ مَرَّتَيْنِ وَلَا أُرَاهُ إِلَّا حَضَرَ أَجَلِي,Gabriel would come to me to revise the Quran once every year. This year he revised with me twice. I do not think it means anything but that my term will come to an end.
28,اعْبُدِ اللَّهَ كَأَنَّكَ تَرَاهُ وَاعْدُدْ نَفْسَكَ مِنَ الْمَوْتَى وَاذْكُرِ اللَّهَ عِنْدَ كُلِّ حَجَرٍ وَشَجَرٍ وَإِذَا عَمِلْتَ السَّيِّئَةَ فَاعْمَلْ بِجَنْبِهَا حَسَنَةً السِّرُّ بِالسِّرِّ وَالْعَلَانِيَةُ بِالْعَلَانِيَةِ,"Worship Allah as if you can see Him and prepare yourself for death. Remember Allah by every rock and tree. If you commit a bad deed, accompany it with a good deed, secretly for a secret deed and publicly for a public deed."
29,كَانَ يَعْرِضُ عَلَى النَّبِيِّ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ الْقُرْآنَ كُلَّ عَامٍ مَرَّةً فَعَرَضَ عَلَيْهِ مَرَّتَيْنِ فِي الْعَامِ الَّذِي قُبِضَ فِيهِ وَكَانَ يَعْتَكِفُ كُلَّ عَامٍ عَشْرًا فَاعْتَكَفَ عِشْرِينَ فِي الْعَام الَّذِي قُبِضَ فِيهِ,"The Prophet, peace and blessings be upon him, would review the Quran once every year in Ramadan, and he reviewed it twice in the year he passed away. The Prophet would retreat in the mosque for ten days every year, and he secluded himself for twenty days in the year he passed away."
30,لَا أَعْلَمُ رَسُولَ اللَّهِ صَلَّى اللَّهُ عَلَيْهِ وَسَلَّمَ قَرَأَ الْقُرْآنَ كُلَّهُ فِي لَيْلَةٍ وَلَا قَامَ لَيْلَةً حَتَّى الصَّبَاحَ وَلَا صَامَ شَهْرًا كَامِلًا قَطُّ غَيْرَ رَمَضَانَ,"I have not known the Messenger of Allah, peace and blessings be upon him, to read the entire Quran in a single night, nor to spend the whole night in prayer until the morning, nor to spend an entire month in fasting, except during the month of Ramadan."
31,أُنْزِلَتْ صُحُفُ إِبْرَاهِيمَ عَلَيْهِ السَّلَام فِي أَوَّلِ لَيْلَةٍ مِنْ رَمَضَانَ وَأُنْزِلَتْ التَّوْرَاةُ لِسِتٍّ مَضَيْنَ مِنْ رَمَضَانَ وَالْإِنْجِيلُ لِثَلَاثَ عَشْرَةَ خَلَتْ مِنْ رَمَضَانَ وَأُنْزِلَ الْفُرْقَانُ لِأَرْبَعٍ وَعِشْرِينَ خَلَتْ مِنْ رَمَضَانَ,"The scriptures of Abraham, upon him be peace, were revealed on the first night of Ramadan. The Torah was revealed after six nights of Ramadan had passed, the Gospel was revealed after thirteen nights of Ramadan had passed, and the Quran was revealed after twenty-four nights of Ramadan had passed."
32,المراقبة علم العبد باطلاع الرب سبحانه وتعالى عَلَيْهِ واستدامته لِهَذَا العلم مراقبة لربه وَهَذَا أصل كُل خير لَهُ ولا يكاد يصل إِلَى هذه الرتبة إلا بَعْد فراغه من المحاسبة … فيعلم أَنَّهُ سبحانه عَلَيْهِ رقيب ومن قلبه قريب يعلم أحواله ويرى أفعاله ويسمع أقواله,"Mindfulness is the knowledge of a servant that the Almighty Lord is aware of him. Persistence in this knowledge is ‘mindfulness’ of one’s Lord. This is the origin of every virtue. One can hardly achieve this rank unless he exhausts himself in self-discipline… So he knows that his Almighty Lord is watchful over him and is close to his heart. He knows his inner-states, He sees his actions, and He hears his words."
33,مَنْ سَلَكَ طَرِيقًا يَبْتَغِي فِيهِ عِلْمًا سَلَكَ اللهُ بِهِ طَرِيقًا إِلَى الْجَنَّةِ وَإِنَّ الْمَلَائِكَةَ لَتَضَعُ أَجْنِحَتَهَا رِضًى لِطَالِبِ الْعِلْمِ وَإِنَّ الْعَالِمَ لَيَسْتَغْفِرُ لَهُ مَنْ فِي السَّمَاوَاتِ وَمَنْ فِي الْأَرْضِ حَتَّى الْحِيتَانُ فِي الْمَاءِ وَفَضْلُ الْعَالِمِ عَلَى الْعَابِدِ كَفَضْلِ الْقَمَرِ عَلَى سَائِرِ الْكَوَاكِبِ إِنَّ الْعُلَمَاءَ وَرَثَةُ الْأَنْبِيَاءِ إِنَّ الْأَنْبِيَاءَ لَمْ يُوَرِّثُوا دِينَارًا وَلَا دِرْهَمًا إِنَّمَا وَرَّثُوا الْعِلْمَ فَمَنْ أَخَذَ بِهِ أَخَذَ بِحَظٍّ وَافِرٍ,"Whoever travels a path in search of knowledge, Allah will make him traverse a path to Paradise. Verily, the angels lower their wings in pleasure for the seeker of knowledge. The inhabitants of the heavens and earth, even the fish in the depths of the water, seek forgiveness for the scholar. The virtue of the scholar over the worshiper is like the superiority of the moon over the stars. Verily, the scholars are the inheritors of the Prophets. The Prophets do not leave behind gold or silver coins, but rather they only leave behind knowledge. Whoever takes it has taken hold of an abundant fortune."
34,تَسَحَّرُوا فَإِنَّ فِي السُّحُورِ بَرَكَةً,"Take the pre-fasting meal, for surely there are blessings in the pre-fasting meal."
35,هَلُمَّ إِلَى الْغَدَاءِ الْمُبَارَكِ,Onward to the blessed meal!
36,لَا يَزَالُ النَّاسُ بِخَيْرٍ مَا عَجَّلُوا الْفِطْرَ,People will continue in goodness as long as they hasten to break their fast.
37,يَا بُنَيَّ إِنْ قَدَرْتَ أَنْ تُصْبِحَ وَتُمْسِيَ لَيْسَ فِي قَلْبِكَ غِشٌّ لِأَحَدٍ فَافْعَلْ,"Young man, if you are able every morning and evening to remove any malevolence in your heart towards anyone, then do so."
38,يَا بُنَيَّ وَذَلِكَ مِنْ سُنَّتِي وَمَنْ أَحْيَا سُنَّتِي فَقَدْ أَحَبَّنِي وَمَنْ أَحَبَّنِي كَانَ مَعِي فِي الْجَنَّة,"Young man, that is my Sunnah. Whoever revives my Sunnah has loved me, and whoever loves me will be with me in Paradise."
39,إِنَّ اللَّهَ لَا يَنْظُرُ إِلَى صُوَرِكُمْ وَأَمْوَالِكُمْ وَلَكِنْ يَنْظُرُ إِلَى قُلُوبِكُمْ وَأَعْمَالِكُمْ,"Verily, Allah does not look at your appearance or wealth, but rather He looks at your hearts and actions."
40,لَا يَسْتَقِيمُ إِيمَانُ عَبْدٍ حَتَّى يَسْتَقِيمَ قَلْبُهُ وَلَا يَسْتَقِيمُ قَلْبُهُ حَتَّى يَسْتَقِيمَ لِسَانُهُ وَلَا يَدْخُلُ رَجُلٌ الْجَنَّةَ لَا يَأْمَنُ جَارُهُ بَوَائِقَهُ,"The faith of a servant is not upright until his heart is upright, and his heart is not upright until his tongue is upright. A man will not enter Paradise if his neighbor is not secure from his evil."
41,إِنَّ الْعَبْدَ لَيَتَكَلَّمُ بِالْكَلِمَةِ مِنْ رِضْوَانِ اللَّهِ لَا يُلْقِي لَهَا بَالًا يَرْفَعُهُ اللَّهُ بِهَا دَرَجَاتٍ وَإِنَّ الْعَبْدَ لَيَتَكَلَّمُ بِالْكَلِمَةِ مِنْ سَخَطِ اللَّهِ لَا يُلْقِي لَهَا بَالًا يَهْوِي بِهَا فِي جَهَنَّمَ,"Verily, a servant may speak a word pleasing to Allah, thinking nothing of it, yet by it Allah raises his status by a degree. Verily, a servant may speak a word displeasing to Allah, thinking nothing of it, yet by it he plummets into Hell."
42,مَنْ لَمْ يَدَعْ قَوْلَ الزُّورِ وَالْعَمَلَ بِهِ فَلَيْسَ لِلَّهِ حَاجَةٌ فِي أَنْ يَدَعَ طَعَامَهُ وَشَرَابَهُ,"Whoever does not leave evil words and deeds while fasting, Allah does not need him to leave food and drink."
43,إِذَا أَصْبَحَ أَحَدُكُمْ يَوْمًا صَائِمًا فَلَا يَرْفُثْ وَلَا يَجْهَلْ فَإِنْ امْرُؤٌ شَاتَمَهُ أَوْ قَاتَلَهُ فَلْيَقُلْ إِنِّي صَائِمٌ إِنِّي صَائِمٌ,"When one of you wakes up in the morning for fasting, then he should not use obscene language or behave foolishly. If anyone abuses him or fights with him, he should say twice: Indeed, I am fasting."
44,إِنَّ الصِّيَامَ لَيْسَ مِنَ الأَكْلِ وَالشُّرْبِ فَقَطْ إِنَّمَا الصِّيَامُ مِنَ اللَّغُوِ وَالرَّفَثِ فَإِنْ سَابَّكَ أَحَدٌ أَوْ جَهِلَ عَلَيْكَ فَقُلْ إِنِّي صَائِمٌ,"Verily, fasting is not only from eating and drinking. Rather, fasting is from vanity and obscenity. If someone abuses you or acts foolish against you, then say: Indeed, I am fasting."
45,لَا تُسَابَّ وَأَنْتَ صَائِمٌ فَإِنْ سَابَّكَ أَحَدٌ فَقُلْ إِنِّي صَائِمٌ وَإِنْ كُنْتَ قَائِمًا فَاجْلِسْ,"Do not insult anyone while you are fasting. If anyone insults you, then say: Indeed, I am fasting. If you are standing, then sit down."
46,آمِينَ آمِينَ آمِينَ,"Amin, amin, amin."
47,إِنَّ جِبْرِيلَ أَتَانِي فَقَالَ مَنْ أَدْرَكَ شَهْرَ رَمَضَانَ وَلَمْ يُغْفَرْ لَهُ فَدَخَلَ النَّارَ فَأَبْعَدَهُ اللَّهُ قُلْ آمِينَ فَقُلْتُ آمِينَ وَمَنْ أَدْرَكَ أَبَوَيْهِ أَوْ أَحَدَهُمَا فَلَمْ يَبَرَّهُمَا فَمَاتَ فَدَخَلَ النَّارَ فَأَبْعَدَهُ اللَّهُ قُلْ آمِينَ فَقُلْتُ آمِينَ وَمَنْ ذُكِرْتُ عِنْدَهُ فَلَمْ يُصَلِّ عَلَيْكَ فَمَاتَ فَدَخَلَ النَّارَ فَأَبْعَدَهُ اللَّهُ قُلْ آمِينَ فَقُلْتُ آمِينَ,"Verily, Gabriel came to me and he said: Whoever reaches the month of Ramadan and he is not forgiven, then he will enter Hellfire and Allah will cast him far away, so say amin. I said amin. Whoever sees his parents in their old age, one or both of them, and he does not honor them and he dies, then he will enter Hellfire and Allah will cast him far away, so say amin. I said amin. Whoever has your name mentioned in his presence and he does not send blessings upon you and he dies, then he will enter Hellfire and Allah will cast him far away, so say amin. I said amin."
48,إِنَّ أَحَدَكُمْ إِذَا قَامَ يُصَلِّي جَاءَ الشَّيْطَانُ فَلَبَسَ عَلَيْهِ حَتَّى لَا يَدْرِيَ كَمْ صَلَّى فَإِذَا وَجَدَ ذَلِكَ أَحَدُكُمْ فَلْيَسْجُدْ سَجْدَتَيْنِ وَهُوَ جَالِسٌ,"Verily, if one of you stands for prayer, Satan comes to distract him until he does not know how many cycles he has performed. When that happens to one of you, let him perform two prostrations while he is sitting."
49,أحدهما حراسة الخواطر وحفظها والحذر من إهمالها والاسترسال معها فإن أصل الفساد كله من قبلها يجيء لأنها هى بذر الشيطان والنفس فى أَرض القلب,"First, to guard one’s thoughts and protect them, to beware of neglecting them and indulging with them. Indeed, it is the origin of every evil before it comes to be, as they are the seed of Satan and the lower-self in the soil of the heart."
50,وَقَالَ بَعْضهم من راقب اللَّه تَعَالَى فِي خواطره عصمه اللَّه تَعَالَى فِي جوارحه,"Some of the predecessors said: Whoever is mindful of Allah Almighty in his thoughts, Allah will protect him in his limbs."
51,عَلَيْكَ بِحُسْنِ الْخُلُقِ وَطُولِ الصَّمْتِ فَوَالَّذِي نَفْسِي بِيَدِهِ مَا تَجَمَّلَ الْخَلَائِقُ بِمِثْلِهِمَا,"You must have good character and observe long periods of silence. By the One in whose hand is my soul, no behaviors are as beautifying as these two."
52,عَلَيْكَ بِطُولِ الصَّمْتِ فَإِنَّهُ مَطْرَدَةٌ لِلشَّيْطَانِ وَعَوْنٌ لَكَ عَلَى أَمْرِ دِينِكَ,"You must observe long periods of silence, for it will drive away Satan and help you in the matter of your religion."
53,ترك الاشتغال بالماضي والمستقبل,It is to abandon preoccupation with the past and the future.
54,سَبَقَ الْمُفَرِّدُونَ,Those in solitude have raced ahead.
55,الذَّاكِرُونَ اللَّهَ كَثِيرًا وَالذَّاكِرَاتُ,They are men and women who remember Allah often.
56,وَرَغِمَ أَنْفُ رَجُلٍ دَخَلَ عَلَيْهِ رَمَضَانُ ثُمَّ انْسَلَخَ قَبْلَ أَنْ يُغْفَرَ لَهُ,"May he be humbled, who enters the month of Ramadan and it passes before he is forgiven. "
57,مَنْ نَسِيَ وَهُوَ صَائِمٌ فَأَكَلَ أَوْ شَرِبَ فَلْيُتِمَّ صَوْمَهُ فَإِنَّمَا أَطْعَمَهُ اللَّهُ وَسَقَاهُ,"Whoever eats or drinks forgetfully while he is fasting, let him complete his fast, for Allah has fed him and given him drink."
58,مَنْ أَفْطَرَ فِي شَهْرِ رَمَضَانَ نَاسِيًا لا قَضَاءَ عَلَيْهِ وَلا كَفَّارَةَ,"Whoever breaks his fast forgetfully in the month of Ramadan, there is no compensation or expiation for it."
59,وَمَا أَهْلَكَكَ,What has ruined you?
60,هَلْ تَجِدُ مَا تُعْتِقُ رَقَبَةً,Can you find a slave to set free?
61,فَهَلْ تَسْتَطِيعُ أَنْ تَصُومَ شَهْرَيْنِ مُتَتَابِعَيْنِ,Are you able to fast two months in a row?
62,فَهَلْ تَجِدُ مَا تُطْعِمُ سِتِّينَ مِسْكِينًا,Can you find sixty poor people to feed?
63,تَصَدَّقْ بِهَذَا,Give these dates in charity.
64,اذْهَبْ فَأَطْعِمْهُ أَهْلَكَ,Go and feed your family.
65,إِنِّي خَرَجْتُ لِأُخْبِرَكُمْ بِلَيْلَةِ الْقَدْرِ وَإِنَّهُ تَلَاحَى فُلَانٌ وَفُلَانٌ فَرُفِعَتْ وَعَسَى أَنْ يَكُونَ خَيْرًا لَكُمْ الْتَمِسُوهَا فِي السَّبْعِ وَالتِّسْعِ وَالْخَمْسِ,"Verily, I have come out to tell you about the Night of Decree, but two men were insulting each other. Thus, its knowledge was taken away and perhaps it is better for you. Look for it during the seventh, ninth, or fifth night of the last ten nights."
