arabic,gpt_english
 غُفْـرانَك,I seek Your forgiveness.
 بِسْمِ الله,In the Name of Allah
 أَشْهَدُ أَنْ لا إِلَـهَ إِلاّ اللهُ  وَحْدَهُ لا شَريـكَ لَـهُ  وَأَشْهَدُأَنَّ مُحَمّـداً عَبْـدُهُ وَرَسـولُـه,"I bear witness that none has the right to be worshipped but Allah alone,  Who has no partner;  and I bear witness that Muhammad is His slave and His Messenger."
 اللّهُـمَّ اجْعَلنـي مِنَ التَّـوّابينَ وَاجْعَـلْني مِنَ المتَطَهّـرين.,"O Allah, make me among those who turn to You in repentance,  and make me among those who are purified."
 سُبْحـانَكَ اللّهُـمَّ وَبِحَمدِك أَشْهَـدُ أَنْ لا إِلهَ إِلاّ أَنْتَ  أَسْتَغْفِرُكَ وَأَتوبُ إِلَـيْك,"Glory is to You, O Allah, and praise;  I bear witness that there is none worthy of worship but You.  I seek Your forgiveness and turn to You in repentance."
 بِسْمِ اللهِ ، تَوَكَّلْـتُ عَلى اللهِ وَلا حَوْلَ وَلا قُـوَّةَ إِلاّ بِالله,"In the Name of Allah, I have placed my trust in Allah, there is no might and no power except by Allah."
 اللّهُـمَّ إِنِّـي أَعـوذُ بِكَ  أَنْ أَضِـلَّ أَوْ أُضَـل ،  أَوْ أَزِلَّ أَوْ أُزَل ،  أَوْ أَظْلِـمَ أَوْ أَُظْلَـم ،  أَوْ أَجْهَلَ أَوْ يُـجْهَلَ عَلَـيّ,"O Allah, I seek refuge in You lest I misguide others, or I am misguided by others, lest I cause others to err or I am caused to err, lest I abuse others or be abused, and lest I behave foolishly or meet with the foolishness of others."
 بِسْـمِ اللهِ وَلَجْنـا، وَبِسْـمِ اللهِ خَـرَجْنـا، وَعَلـى رَبِّنـا تَوَكّلْـن (ثم ليسلم على أهله.),"In the Name of Allah we enter, in the Name of Allah we leave, and upon our Lord we depend. [then say As-Salamu Alaykum to those present]."
" اللّهُـمَّ اجْعَـلْ فِي قَلْبـي نُوراً ،  وَفي لِسَـانِي نُوراً،  وَفِي سَمْعِي نُوراً,  وَفِي بَصَرِيِ نُوراً,  وَمِنْ فََوْقِي نُوراً ,  وَ مِنْ تَحْتِي نُوراً,  وَ عَنْ يَمِينيِ نُوراَ,  وعَنْ شِمَالِي نُوراً,  وَمْن أَماَمِي نُوراً,  وَمِنْ خَلْفيِ نُوراَ,  واجْعَلْ فِي نَفْسِي نُوراً,  وأَعْظِمْ لِي نُوراً,  وَعظِّمْ لِي نُوراً,  وَاجْعَلْ لِي نُوراً,  واجْعَلنِي نُوراً,  أللَّهُمَّ أَعْطِنِي نُوراً,  واجْعَلْ فِي عَصَبِي نُوراً,  وَفِي لَحْمِي نُوراً,  وَفِي دَمِي نُوراً  وَفِي شَعْرِي نُوراً,  وفِي بَشَرِي نُوراً  (أَللَّهُمَّ اجِعَلْ لِي نُوراً فِي قّبْرِي  وَ نُوراَ فِي عِظاَمِي)  (وَزِدْنِي نُوراً,  وَزِدْنِي نُوراَ ,  وَزِدْنِي نُوراً)  (وَهَبْ لِي نُوراً عَلَى نُوراً )","O Allah, place light in my heart, and on my tongue light, and in my ears light, and in my sight light, and above me light, and below me light, and to my right light, and to my left light, and before me light and behind me light. Place in my soul light. Magnify for me light, and amplify for me light. Make for me light and make me a light. O Allah, grant me light, and place light in my nerves, and in my body light and in my blood light and in my hair light and in my skin light. Increase me in light, increase me in light, increase me in light. Grant me light upon light."
أَعوذُ باللهِ العَظيـم وَبِوَجْهِـهِ الكَرِيـم وَسُلْطـانِه القَديـم مِنَ الشّيْـطانِ الرَّجـيم، [ بِسْـمِ الله، وَالصَّلاةُ وَالسَّلامُ عَلى رَسولِ  الله]، اللّهُـمَّ افْتَـحْ لي أَبْوابَ رَحْمَتـِك,"I seek refuge in Almighty Allah, By His Noble Face, By His primordial power, From Satan the outcast. In the Name of Allah, and blessings and peace be upon the Messenger of Allah. O Allah, open before me the doors of Your mercy."
 بِسمِ الله وَالصّلاةُ وَالسّلامُ عَلى رَسولِ الله، اللّهُـمَّ إِنّـي أَسْأَلُكَ مِـنْ فَضْـلِك، اللّهُـمَّ اعصِمْنـي مِنَ الشَّيْـطانِ الرَّجـيم,"In the Name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, I ask for Your favor, O Allah, protect me from Satan the outcast."
 يقول مثل ما يقول المؤذن إلا في (حي على الصلاة ، وحي على الفلاح) فيقول لا حول ولا قوة إلا بالله.,"Repeat what the Mu'adh-dhin says, except for when he says: Hasten to the prayer and hasten to salvation. Here you should say: There is no might and no power except by Allah."
 وَأَنا أَشْـهَدُ أَنْ لا إِلـهَ إِلاّ اللهُ وَحْـدَهُ لا شَـريكَ لَـه ،  وَأَنَّ محَمّـداً عَبْـدُهُ وَرَسـولُه، رَضيـتُ بِاللهِ رَبَّاً ،  وَبِمُحَمَّـدٍ رَسـولاً وَبِالإِسْلامِ دينَـاً,"I bear witness that none has the right to be worshipped but Allah alone, Who has no partner, and that Muhammad is His slave and His Messenger. I am pleased with Allah as my Lord, with Muhammad as my Messenger and with Islam as my religion. (To be recited in Arabic after the mu'adh-dhin's tashahhud or the words of affirmation of Faith)"
 يُصَلِّي عَلَى النَّبِيِّ صلى الله عليه وسلم بَعْدَ فَرَاغِهِ مِنْ إِجَابَةِ الْمُؤَذِّنِ,"After replying to the call of Mu'adh-dhin, you should recite in Arabic Allah's blessings on the Prophet."
اللّهُـمَّ رَبَّ هَذِهِ الدّعْـوَةِ التّـامَّة وَالصّلاةِ القَـائِمَة آتِ محَـمَّداً الوَسيـلةَ وَالْفَضـيلَة وَابْعَـثْه مَقـامـاً مَحـموداً الَّذي وَعَـدْتَه [إِنَّـكَ لا تُـخْلِفُ الميـعاد],"O Allah, Lord of this perfect call and established prayer. Grant Muhammad the intercession and favor, and raise him to the honored station You have promised him, [verily You do not neglect promises]."
 يَدْعُو لِنَفسِهِ بَيْنَ الْأَذَانِ وَالْإِقَامَةِ فَإِنَّ الدُّعَاءَ حِينَئِذٍ لاَ يُرَدُّ,"Between the call to prayer and the 'Iqamah, you should supplicate Allah for yourself. Invocation during this time is not rejected."
 اللّهُـمَّ باعِـدْ بَيـني وَبَيْنَ خَطـايايَ كَما باعَدْتَ بَيْنَ المَشْرِقِ وَالمَغْرِبْ ، اللّهُـمَّ نَقِّنـي مِنْ خَطايايَ كَمـا يُـنَقَّى الثَّـوْبُ الأَبْيَضُ مِنَ الدَّنَسْ ، اللّهُـمَّ اغْسِلْنـي مِنْ خَطايـايَ بِالثَّلـجِ وَالمـاءِ وَالْبَرَدْ.,"O Allah, separate me from my sins as You have separated the East from the West. O Allah, cleanse me of my transgressions as the white garment is cleansed of stains. O Allah, wash away my sins with ice and water and frost."
 سُبْـحانَكَ اللّهُـمَّ وَبِحَمْـدِكَ وَتَبارَكَ اسْمُـكَ وَتَعـالى جَـدُّكَ  وَلا إِلهَ غَيْرُك,"Glory is to You O Allah, and praise. Blessed is Your Name and Exalted is Your Majesty. There is none worthy of worship but You"
 وَجَّهـتُ وَجْهِـيَ لِلَّذي فَطَرَ السَّمـواتِ وَالأَرْضَ حَنـيفَاً وَمـا أَنا مِنَ المشْرِكين ، إِنَّ صَلاتـي ، وَنُسُكي ، وَمَحْـيايَ ، وَمَماتـي للهِ رَبِّ العالَمين ، لا شَريـكَ لَهُ وَبِذلكَ أُمِرْتُ وَأَنا مِنَ المسْلِـمين. اللّهُـمَّ أَنْتَ المَلِكُ لا إِلهَ إِلاّ أَنْت، أَنْتَ رَبِّـي وَأَنـا عَبْـدُك ، ظَلَمْـتُ نَفْسـي وَاعْـتَرَفْتُ بِذَنْبـي  فَاغْفِرْ لي ذُنوبي جَميعاً إِنَّـه لا يَغْـفِرُ الذُّنـوبَ إلاّ أَنْت. وَاهْدِنـي لأَحْسَنِ الأَخْلاقِ  لا يَهْـدي لأَحْسَـنِها إِلاّ أَنْـت ، وَاصْـرِف عَـنّْي سَيِّئَهـا،  لا يَصْرِفُ عَـنّْي سَيِّئَهـا إِلاّ أَنْـت، لَبَّـيْكَ وَسَعْـدَيْك،  وَالخَـيْرُ كُلُّـهُ بِيَـدَيْـك، وَالشَّرُّ لَيْـسَ إِلَـيْك ،  أَنا بِكَ وَإِلَيْـك ،  تَبـارَكْتَ وَتَعـالَيتَ  أَسْتَغْـفِرُكَ وَأَتوبُ إِلَـيك,"I have turned my face sincerely towards He who has brought forth the heavens and the Earth and I am not of those who associate (others with Allah). Indeed my prayer, my sacrifice, my life and my death are for Allah, Lord of the worlds, no partner has He, with this I am commanded and I am of the Muslims. O Allah, You are the Sovereign, none has the right to be worshipped except You. You are my Lord and I am Your servant, I have wronged my own soul and have acknowledged my sin, so forgive me all my sins for no one forgives sins except You. Guide me to the best of characters for none can guide to it other than You, and deliver me from the worst of characters for none can deliver me from it other than You. Here I am, in answer to Your call, happy to serve you. All good is within Your hands and evil does not stem from You. I exist by your will and will return to you. Blessed and High are You, I seek Your forgiveness and repent unto You."
 اللّهُـمَّ رَبَّ جِـبْرائيل ، وَميكـائيل ، وَإِسْـرافيل،  فاطِـرَ السَّمواتِ وَالأَرْض ، عالـِمَ الغَيْـبِ وَالشَّهـادَةِ  أَنْـتَ تَحْـكمُ بَيْـنَ عِبـادِكَ فيـما كانوا فيهِ يَخْتَلِفـون.  اهدِنـي لِمـا اخْتُـلِفَ فيـهِ مِنَ الْحَـقِّ بِإِذْنِك ، إِنَّـكَ تَهْـدي مَنْ تَشـاءُ إِلى صِراطٍ مُسْتَقـيم,"O Allah, Lord of Jibraīl, Mīkaīl and Israfīl (great angels), Creator of the heavens and the Earth, Knower of the seen and the unseen. You are the arbitrator between Your servants in that which they have disputed. Guide me to the truth by Your leave, in that which they have differed, for verily You guide whom You will to a straight path."""
 اللهُ أَكْبَـرُ كَبـيرا ، اللهُ أَكْبَـرُ كَبـيرا ، اللهُ أَكْبَـرُ كَبـيرا ، وَالْحَـمْدُ للهِ كَثـيرا ، وَالْحَـمْدُ للهِ كَثـيرا ،  وَالْحَـمْدُ للهِ كَثـيرا ،  وَسُبْـحانَ اللهِ بكْـرَةً وَأَصيـلا.( ثَلاثاً ) أَعـوذُ بِاللهِ مِنَ الشَّـيْطانِ مِنْ نَفْخِـهِ وَنَفْـثِهِ وَهَمْـزِه,"Allah is the Greatest, Most Great. Allah is the Greatest, Most Great. Allah is the Greatest, Most Great. Praise is to Allah, abundantly. Praise is to Allah, abundantly. Praise is to Allah, abundantly. Glory is to Allah, at the break of day and at its end. I seek refuge in Allah from Satan. From his breath, and from his voice, and from his whisper."
اللّهُـمَّ لَكَ الْحَمْدُ أَنْتَ نـورُ السَّمـواتِ وَالأَرْضِ وَمَنْ فيـهِن ،  وَلَكَ الْحَمْدُ أَنْتَ قَـيِّمُ السَّـمواتِ وَالأَرْضِ وَمَنْ فيـهِن ،  [وَلَكَ الْحَمْدُ أَنْتَ رَبُّ السَّـمواتِ وَالأَرْضِ وَمَنْ فيـهِن]  [وَلَكَ الْحَمْدُ لَكَ مُلْـكُ السَّـمواتِ وَالأَرْضِ وَمَنْ فيـهِن]  [وَلَكَ الْحَمْدُ أَنْتَ مَلِـكُ السَّـمواتِ وَالأَرْضِ ] [وَلَكَ الْحَمْدُ] [أَنْتَ الْحَـقّ وَوَعْـدُكَ الْحَـق ، وَقَوْلُـكَ الْحَـق ، وَلِقـاؤُكَ الْحَـق ،  وَالْجَـنَّةُحَـق ، وَالنّـارُ حَـق ،  وَالنَّبِـيّونَ حَـق ، وَمـحَمَّدٌ حَـق ،  وَالسّـاعَةُحَـق] [اللّهُـمَّ لَكَ أَسْلَمت ، وَعَلَـيْكَ تَوَكَّلْـت ،  وَبِكَ آمَنْـت ، وَإِلَـيْكَ أَنَبْـت ،  وَبِـكَ خاصَمْت ، وَإِلَـيْكَ حاكَمْـت .  فاغْفِـرْ لي مـا قَدَّمْتُ ، وَما أَخَّـرْت ،  وَما أَسْـرَرْت ، وَما أَعْلَـنْت ]  [أَنْتَ المُقَـدِّمُ وَأَنْتَ المُـؤَخِّر ،  لا إِاـهَ إِلاّ أَنْـت]  [أَنْـتَ إِلـهي لا إِاـهَ إِلاّ أَنْـت,"O Allah, praise is to You. You are the Light of the heavens and the earth and all that they contain. Praise is to You, You are the Sustainer of the heavens and the earth and all they contain. Praise is to You, You are the Truth, Your Promise is true, Your Word is true, Your audience is true, Paradise is true, Hell is true, the Prophets are true, and Muhammad (peace and blessings be upon him) is true, and the Hour of Judgment is true. O Allah, to You I have submitted, and upon You I depend. I have believed in You and to You I turn in repentance. For Your sake I dispute and by Your standard I judge. Forgive me what I have sent before me and what I have left behind me, what I have concealed and what I have declared. You are the One Who sends forth and You are the One Who delays, there is none who has the right to be worshipped but You. You are my God, there is none who has the right to be worshipped but You."
 سُبْـحانَ رَبِّـيَ الْعَظـيم (ثلاث مرات),Glory to my Lord the Exalted
 سُبْـحانَكَ اللّهُـمَّ رَبَّـنا وَبِحَـمْدِك ،  اللّهُـمَّ اغْفِـرْ لي,"Glory is to You, O Allah, our Lord, and praise is Yours. O Allah, forgive me."
 سُبـّوحٌ قُـدّْوس ، رَبُّ الملائِكَـةِ وَالـرُّوح,"Glory, Most Holy, Lord of the angels and the Spirit."
 اللّهُـمَّ لَكَ رَكَـعْتُ  وَبِكَ آمَـنْت، ولَكَ أَسْلَـمْت ،  خَشَـعَ لَكَ سَمْـعي، وَبَصَـري ،  وَمُخِّـي، وَعَظْمـي، وَعَصَـبي ،  وَما استَقَـلَّ بِهِ قَدَمي,"O Allah, to You I bow in prayer, and in You I believe and to You I have submitted. Before You my hearing is humbled, and my sight, and my mind, my bones, my nerves and what my feet have mounted upon for travel."
 سُبْـحانَ ذي الْجَبَـروت، والمَلَـكوت، وَالكِبْـرِياء، وَالْعَظَـمَةِ,"Glory is to You, Master of power, of dominion, of majesty and greatness."
 سَمِـعَ اللهُ لِمَـنْ حَمِـدَه,Allah hears whoever praises Him.
 رَبَّنـا وَلَكَ الحَمْـدُ حَمْـداً كَثـيراً طَيِّـباً مُـبارَكاً فيه,"Our Lord, praise is Yours, abundant, good and blessed praise."
 مِلْءَ السَّمـواتِ وَمِلْءَ الأَرْض، وَما بَيْـنَهُمـا ، وَمِلْءَ ما شِئْـتَ مِنْ شَيءٍ بَعْـد . أَهـلَ الثَّـناءِ وَالمَجـد ،  أََحَـقُّ ما قالَ العَبْـد ،  وَكُلُّـنا لَكَ عَـبد . اللّهُـمَّ لا مانِعَ لِما أَعْطَـيْت ،  وَلا مُعْطِـيَ لِما مَنَـعْت ،  وَلا يَنْفَـعُ ذا الجَـدِّ مِنْـكَ الجَـد,"Fills the heavens and the earth and what lies between them, and whatever else You please. You are most worthy of praise and majesty, and what the slave has said - we are all Your slaves. O Allah, there is none who can withhold what You give, and none may give what You have withheld. And the might of the mighty person cannot benefit him against You."
 سُبْـحانَ رَبِّـيَ الأَعْلـى. (ثلاث مرات),"Glory is to my Lord, the Most High. (This is said three times)"
 سُبْـحانَكَ اللّهُـمَّ رَبَّـنا وَبِحَـمْدِكَ ،  اللّهُـمَّ اغْفِرْ لي,"Glory is to You, O Allah, our Lord, and praise is Yours. O Allah, forgive me."
 سُبـّوحٌ قُـدّوس، رَبُّ الملائِكَـةِ وَالـرُّوح,"Glory, Most Holy, Lord of the angels and the Spirit."
 اللّهُـمَّ لَكَ سَـجَدْتُ  وَبِـكَ آمَنْـت ،  وَلَكَ أَسْلَـمْت ،  سَجَـدَ وَجْهـي للَّـذي خَلَقَـهُ وَصَـوَّرَهُ  وَشَقَّ سَمْـعَـهُ وَبَصَـرَه ،  تَبـارَكَ اللهُ أَحْسـنُ الخـالِقيـن,"O Allah, to You I prostrate myself and in You I believe. To You I have submitted. My face is prostrated to the One Who created it, fashioned it, and gave it hearing and sight. Blessed is Allah, the Best of creators."
 سُبْـحانَ ذي الْجَبَـروت، والمَلَكـوت، والكِبْـرِياء، وَالعَظَمَـةِ.,"Glory is to the master of power, sovereignty, of majesty and greatness."
 اللّهُـمَّ اغْفِـرْ لي ذَنْـبي كُلَّـه ،  دِقَّـهُ وَجِلَّـه ،  وَأَوَّلَـهُ وَآخِـرَه ،  وَعَلانِيَّتَـهُ وَسِـرَّه,"O Allah, forgive me all my sins, great and small, the first and the last, those that are apparent and those that are hidden."
 اللّهُـمَّ إِنِّـي أَعـوذُ بِرِضـاكَ مِنْ سَخَطِـك ، وَبِمعـافاتِـكَ مِنْ عُقوبَـتِك ،  وَأَعـوذُ بِكَ مِنْـك ،  لا أُحْصـي ثَنـاءً عَلَـيْك ،  أَنْـتَ كَمـا أَثْنَـيْتَ عَلـى نَفْسـِك,"O Allah, I seek protection in Your pleasure from Your anger, and I seek protection in Your forgiveness from Your punishment.  I seek protection in You from You.  I cannot count Your praises.  You are as You have praised Yourself."
 رَبِّ اغْفِـرْ لي ، رَبِّ اغْفِـرْ لي,"Lord, forgive me. My Lord, forgive me."
 اللّهُـمَّ اغْفِـرْ لي ، وَارْحَمْـني ،  وَاهْدِنـي ، وَاجْبُرْنـي ،  وَعافِنـي وَارْزُقْنـي وَارْفَعْـني,"O Allah forgive me, have mercy on me, guide me, support me, protect me, provide for me, and elevate me."
 سَجَـدَ وَجْهـي للَّـذي خَلَقَـهُ وَشَقَّ سَمْـعَـهُ وَبَصَـرَهُ بِحَـوْلِـهِ وَقُـوَّتِهِ ﴿فتَبـارَكَ اللهُ أَحْسَـنُ الخـالِقيـن﴾.,"I have prostrated my face to the One Who created it, and gave it hearing and sight by His might and His power. Glory is to Allah, the Best of creators."
 اللّهُـمَّ اكْتُـبْ لي بِهـا عِنْـدَكَ أَجْـراً ،  وَضَـعْ عَنِّـي بِهـا وِزْراً ،  وَاجْعَـلها لي عِنْـدَكَ ذُخْـراً ،  وَتَقَبَّـلها مِنِّي كَمَا تَقَبَّلْتَهَا مِنْ عَبْدِكَ دَاوُدَ.,"O Allah, write it as a reward for me, and release me from a burden for it, and make it a treasure for me with You. Accept it from me as You accepted it from your servant Dawud."
 التَّحِيّـاتُ للهِ وَالصَّلَـواتُ والطَّيِّـبات ،  السَّلامُ عَلَيـكَ أَيُّهـا النَّبِـيُّ وَرَحْمَـةُ اللهِ وَبَرَكـاتُه ،  السَّلامُ عَلَيْـناوَعَلـى عِبـادِ للهِ الصَّـالِحـين . أَشْـهَدُ أَنْ لا إِلـهَ إِلاّ الله ،  وَأَشْـهَدُ أَنَّ مُحَمّـداً عَبْـدُهُ وَرَسـولُه,"Greetings of humility are for Allah, and all prayers and goodness. Peace be upon you, O Prophet, and the mercy of Allah and His blessings. Peace be upon us and upon the righteous slaves of Allah. I bear witness that there is none worthy of worship but Allah, and I bear witness that Muhammad is His slave and His Messenger."
 اللّهُـمَّ صَلِّ عَلـى مُحمَّـد، وَعَلـى آلِ مُحمَّد، كَمـا صَلَّيـتَ عَلـى إبْراهـيمَ وَعَلـى آلِ إبْراهـيم،  إِنَّكَ حَمـيدٌ مَجـيد ،  اللّهُـمَّ بارِكْ عَلـى مُحمَّـد، وَعَلـى آلِ مُحمَّـد، كَمـا بارِكْتَ عَلـى إبْراهـيمَ وَعَلـى آلِ إبْراهيم،  إِنَّكَ حَمـيدٌ مَجـيد,"O Allah, bestow Your favor on Muhammad and on the family of Muhammad as You have bestowed Your favor on Ibrahim and on the family of Ibrahim, You are Praiseworthy, Most Glorious.  O Allah, bless Muhammad and the family of Muhammad as You have blessed Ibrahim and the family of Ibrahim, You are Praiseworthy, Most Glorious."
 اللّهُـمَّ صَلِّ عَلـى مُحمَّـدٍ  وَعَلـى أَزْواجِـهِ وَذُرِّيَّـتِه،  كَمـا صَلَّيْـتَ عَلـى آلِ إبْراهـيم . وَبارِكْ عَلـى مُحمَّـدٍ  وَعَلـى أَزْواجِـهِ وَذُرِّيَّـتِه، كَمـا بارِكْتَ عَلـى آلِ إبْراهـيم .  إِنَّكَ حَمـيدٌ مَجـيد,"O Allah, bestow Your favor on Muhammad and upon his wives and progeny as You have bestowed Your favor upon the family of Ibrahim. And bless Muhammad and his wives and progeny as You have blessed the family of Ibrahim, You are full of praise, Most Glorious."
 اللّهُـمَّ إِنِّـي أَعـوذُ بِكَ مِـنْ عَذابِ القَـبْر، وَمِـنْ عَذابِ جَهَـنَّم،  وَمِـنْ فِتْـنَةِ المَحْـيا وَالمَمـات،  وَمِـنْ شَـرِّ فِتْـنَةِ المَسيحِ الدَّجّال,"O Allah, I seek refuge in You from the punishment of the grave, and from the punishment of Hell-fire, and from the trials of life and death, and from the evil of the trial of the False Messiah."
