,text
17,وإذا اجتمع ذلك في المملكة، كان سبباً للبوار، وداعيةً إلى التجارب.
18,[وداع الملك للملوك] وعلى الملك، إذا أراد هذا الذي قدمنا صفته، الأنصراف، أن يقوم معه إذا قام، ويدعو بدابته ليركب حيث يراه، ويشيعه ماشياً، قبل ركوبه، خطى يسيرةً، ويأمر حشمه بالسعي بين يديه.
19,وعلى هذا كانت أخلاق آل ساسان من الملوك وأبنائهم، وبهذه السياسة أخذهم أردشير بن بابك، فلم تزل فيهم حتى ملك كسرى أبرويز، فغيرها؛ فكان مما اعتد عليه شيرويه، ابنه، في ذكر مثالبه ومعايبه وقد قلنا إن من حق الملك أن لا يطيل أحد عنده القعود؛ فإن اخطأ مخطيء في ذلك، فمن إذن الملك له بالانصراف أن يلحظه.
20,فإذا عرف ذلك فلم يقم، كان ممن يحتاج إلى أدبٍ، وكان الذي وصله بالملك ظالماً له ولنفسه.
21,[باب في مطاعمة الملوك] ومن حق الملك، إذا تبذل مع أحد، وأنس به حتى طاعمه، أن لا ينبسط بين يديه في مطعمه؛ فإن في ذلك خلالاً مذمومةً: منها، أن انبساطه يدل على شرهه؛ ومنها، أن في ذلك سوء أدب، وقلة تمييز؛ ومنها، أن فيه جرأةً على الملك ببسط اليد، ومدها، وكثرة الحركة.
22,وليس في كثرة الأكل مع الملك معنىً يحمد، إلا أن يكون الآكل كميسرة التراس أو حفصٍ الكيال، الذين إنما يحضرون لكثرة الأكل فقط.
23,فاما أهل الأدب، وذوو المروءة، فإنما حظهم من مائدة الملك المرتبة التي رفعهم إليها، والأنس الذي خصهم به.
24,[المنصور والفتى الهاشمي] قال: وحدثني ابراهيم بن السندي بن شاهك، عن أبيه، قال: دخل شاب من بني هاشم على المنصور، فاستجلسه ذات يومٍ، ودعا بغدائه، وقال للفتى: أدنه فقال الفتى: قد تغديت.
25,فكف عنه الربيع، حتى ظننت أنه لم يفطن لخطاه.
26,فلما نهض للخروج، أمهله.
27,فلما كان من وراء الستر، دفع في قفاه.
28,فلما رأى الحجاب ذلك منه، دفعوا في قفاه حتى أخرجوه من الدار.
29,فدخل رجال من عمومة الفتى، فشكوا الربيع إلى المنصور.
30,فقال المنصور: إن الربيع لا يقدم على مثل هذا، إلا وفي يده حجة؛ فإن شئتم أغضيتم على ما فيها، وإن شئتم سألته، وأنتم تسمعون.
31,قالوا: فسله.
32,فدعا الربيع، وقصوا قصته.
33,فقال الربيع: هذا الفتى كان يسلم من بعيد، وينصرف.
34,فاستدناه أمير المؤمنين، حتى سلم عليه من قريب، ثم أمره بالجلوس.
35,ثم تبذل بفضيلة المرتبة التي صيره فيها أن قال، حين دعاه إلى طعامه: قد فعلت.
36,وإذن ليس عنده لمن أكل مع أمير المؤمنين إلا سد خلة الجوع.
37,ومثل هذا لا يقومه القول دون الفعل.
38,[على مائدة اسحق بن ابراهيم] حدثني أحمد بن عبد الرحمن الحراني، قال: كنت أحضر على مائدة اسحق بن إبراهيم، أنا وهاشم ابن أخي الأبرد والناقدي؛ فكنت أعد على مائدته ثلاثين طائراً.
39,فأما الحلو والحامض والحار والقار، فاكثر من أن أحصيه.
40,فلا نرزأ من ذلك كله إلا مقدار ما يأكل الطائر.
41,إنما نكسر الخبز بأظفارنا.
42,قلت: فما كان ينشطكم؟
43,قال: لا ولو فعل ما فعلناه قال: فما هو إلا أن نتوارى عن عينه حتى ننتهب.
44,[شرف مؤاكلة الملوك] وكذلك يجب للملوك أن لا يشره أحد إلى طعامهم، ولا يكون غرضه أن يملأ بطنه، وينصرف إلى رحله، إلا أن يكون الآكل أخا الملك، أو ابنه، أو عمه، أو ابن عمه، أو من أشبه هؤلاء؛ ويكون أيضاً ممن يقصر بعد الأكل ويطيل المنادمة، ويجعل ما يأكل غذاء يومه وليلته، إذ كان لا يمكنه الانصراف متى شاء.
45,وكانت ملوك فارس، إذا رأت أحداً في هذه الحال التي وصفنا من شره المطعم والنهم، أخرجوه من طبقة الهزل، ومن باب التعظيم إلى باب الاحتقار والتصغير.
46,والملك، وإن بسط الرجل لطعامه، فمن حقه على نفسه، وحق الملك عليه أن لا يترك استعمال الأدب، ولا يميل إلى ما تهوى طبيعته؛ فإنه من عرف بالشره، لم يجب له اسم الأدب، ومن عرف بالنهم، زال عنه اسم التمييز.
47,وإذا وضع الملك بين يدي أحدٍ طعاماً، فليعلم ذلك الرجل أنه لم يضعه بين يديه ليأتي عليه، بل لعله، إن كان لم يقصد بذاك إلى إكرامه أو مؤانسته، أن يكون أراد أن يعرف ضبطه نفسه، إذا رأى ما يشتهي من بسطه لها.
48,وحسب الرجل، إذا أتحفه الملك بتحفة على مائدته، أن يضع يده عليها.
49,فإن ذلك يجزئه، ويزيد في آدابه.
50,[بين معاوية والحسن بن علي] ألا ترى إلى معاوية بن أبي سفيان، حين وضع بين يدي الحسن عليه السلام، دجاجةً، ففكها، نظر إليه معاوية، فقال: هل كان بينك وبينها عداوة؟
51,فقال له الحسن: هل كان بينك وبين أمها قرابة؟
52,إن هذا الكلام الذي دار بينهما قد قرح في قلب كل واحدٍ منهما.
53,ومعاوية لم يقل هذا القول، لأنه كان يعظم عليه قدر الدجاجة.
54,فكيف يكون ذلك، وهو يكتب إلى أطرافه وعماله، ولى زيادٍ بالعراق بإطعام السابلة، والفقراء، وذوي الحاجة؟
55,وله في كل يومٍ أربعون مائدة يتقسمها وجود جند الشام؟
56,ولكن علم أن من حق الملك توقير مجلسه وتعظيمه، وليس من التوقير والتعظيم مد اليد، وإظهار القرم، وشدة النهم، وطلب التشبع بين يدي الملوك وبحضرتها.
57,وعلى هذا كانت ملوك الأعاجم من لدن أردشير بن بابك إلى يزدجرد.
58,[شره القضاة] ويقال إن سابورذا الأكتاف، لما مات موبذان موبذ، وصف له رجل من كورة إصطخر، يصلح لقضاء القضاة في العلم والتأله والأمانة.
59,فوجه إليه، فلما قدم، دخل عليه، ودعا بالطعام إليه، فدنا، فأكل معه، فأخذ سابور دجاجةً فنصفها، ووضع نصفها بين يدي الرجل، ونصفها بين يديه، ثم أومأ إليه أن كل من هذه، ولا تخلط بها طعاماً، فإنه أمرأ لطعامك، وأخف على معدتك.
60,وأقبل سابور على النصف، فأكل كنحو ما كان يأكل.
61,ففرغ الرجل من النصف، قبل فراغ سابور، ثم مد يده إلى طعام آخر، وسابور يلحظه.
62,فلما رفعت المائدة، قال له: ودع وانصرف إلى بلدك.
63,فإن آباءنا وسلفنا من الملوك، كانوا يقولون: من شره بين يدي الملك إلى الطعام، كان إلى أموال الرعية والسوقة والوضعاء أشد شرهاً.
64,فلم يستكفه على ما كان أحضره له.
65,[الملك وضيوفه على المائدة] ومن حق الملك أن لا يرفع أحد إليه طرفه، إذا أكل، ولا يحرك يده معه في صحفة.
66,ومن قوانين الملك أن توضع بين يدي كل رجلٍ صحفة، فيها كالذي بين يدي الملك من طعام غليظٍ أو دقيقٍ أو حارٍ أو قار، ولا يخص الملك نفسه بطعام دون أصحابه، لأن في ذلك ضعةً على الملك، ودليلاً على الاستئثار.
67,ومن حق الملك أن لا يغسل أحد بحضرته يديه من خاصته وبطانته، إلا أن يكون معه من يساويه في الجاه، والعز، والبيت والولادة.
68,فقد بينا ما يجب لأولئك آنفاً.
69,ومن العدل أن يعطي الملك كل أحد قسطه وكل طبقةٍ حقها، وأن تكون شريعة العدل في أخلاقه كشريعة ما يقتدي به من أداء الفرائض والنوافل التي تجب عليه رعايتها والمثابرة على التمسك بها، وإيناس الناس في بسط أيديهم في الطعام، حتى يسوي في ذلك بين الملوك والنمط الأوسط والعامة.
70,وليس أخلاق الملوك كأخلاق العامة.
71,وكانوا لا يشبهون في شيء.
72,وإنما تحسن كثرة الأكل مع الصديق والعشير والمساوي في منازل الدنيا من الرفعة والضعة.
73,فأما الملوك، فيرتفعون عن هذه الصفة، ويجلون عن هذا المقدار.
74,ومن حق الملك، إذا رفع يديه عن الطعام، أن ينهض عن مائدته كل من الحاف بها، حتى يواروا عنه بجدارٍ أو حائلٍ غيره.
75,فإن أراد الدخول، كان ذلك بحيث لا يرون قيامه، وإذا أراد القعود لهم، دخلوا إليه بإذن ثانٍ.
76,ومن قوانين الملك أن يكون منديل غمره كمنديل وجهه، في النقاء والبياض، وأن لا يعاد إليه إلا أن يغسل أو يجدد.
77,[الحديث على المائدة] ومن حق الملك أن لا يحدث على طعامه بحديث جدٍ ولا هزل.
78,وإن ابتدأ بحديثٍ، فليس من حقه أن يعارض بمثله.
79,وليس فيه أكثر من الاستماع لحديثه، والأبصار خاشعة.
80,ولشيءٍ ما، كانت ملوك آل ساسان، إذا قدمت موائدهم، زمزموا عليها، فلم ينطق ناطق بحرفٍ حتى ترفع.
81,فإن اضطروا إلى كلام، كان مكانه إشارة وإيماء يدل على الغرض الذي أرادوا، والمعنى الذي قصدوا.
82,وكانوا يقولون: إن هذه الأطعمة بها حياة هذا العالم، فينبغي للإنسان أن يجعل ذهنه في مطعمه، ويشغل روحه وجوارحه فيه، لأن تأخذ كل جارحةٍ بقسطها من الطعام، فيغتذي بها البدن والروح الحيوانية التي في القلب، والطبيعة التي في الكبد، اغتذاءً تاماً، وتقبله الطبيعة قبولاً جامعاً.
83,وفي ترك الكلام على الطعام فضائل كثيرة، وهي في آيينهم تركنا ذكرها، إذ كانت ليست من جنس كتابنا هذا.
84,قال: وحدثني بعض المحدثين، قال: قال بعض الأمراء، وأظنه بلال بن أبي بردة، لأبي نوفل الجارود بن أبي سبرة: ماذا تصنعون عند عبد الأعلى بن عبد الله بن عامر بن كريز القرشي، إذ كنتم عنده؟
85,فيقول: ما عندك؟
86,فيقول: عندي لون كذا، ودجاجة كذا، ومن الحلواء كذا.
87,قال: ولم يسأل عن ذلك؟
88,قال: ليقصر كل رجلٍ عما لا يشتهيه، حتى يأتيه بما يشتهي قال: ثم يؤتى بالخوان، فيتضايق ويتسع، ويقصر ويجتهد.
89,فإذا استغنى، خوى تخوية الظليم، ثم أكل أكل الجائع المقرور.
90,قال: والجارود هذا هو الذي قال: سوء الخلق يفسد العمل، كما يفسد الخل العسل.
91,[باب في المنادمة] [طبقات الندماء] ومن أخلاق الملك أن يجعل ندماءه طبقات ومراتب، وأن يخص ويعم، ويقرب ويباعد، ويرفع ويضع، إذ كانوا على أقسامٍ وأدوات.
92,فإنا قد نرى الملك يحتاج إلى الوضيع للهوه، كما يحتاج إلى الشجاع لبأسه، ويحتاج إلى المضحك لحكايته، كما يحتاج إلى الناسك لعظته، ويحتاج إلى أهل الهزل، كما يحتاج إلى أهل الجد والعقل ويحتاج إلى الزامر المطرب، كما يحتاج إلى العالم المتقن.
93,وهذه أخلاق الملوك، أن يحضرهم كل طبقةٍ، إذ كانوا ينصرفون من حال جدٍ إلى حال هزلٍ، ومن ضحك إلى تذكير، ومن لهوٍ إلى عظةٍ.
94,فكل طبقةٍ من هذه الطبقات ترفع مرةً وتحط أخرى، وتعطي مرةً وتحرم أخرى، خلا الأشراف والعلماء، فإن الذي يجب لهم رفعة المرتبة، وإعطاء القسط من الميزة، والنصفة من المعاشرة، ما لزموا الطاعة ورعوا حقها.
95,[في حضرة الملك] وليس من حق الملك أن يبرح أحد من مجلسه إلا لقضاء حاجة.
96,فإذا أراد ذلك، فمن الواجب أن لا يلاحظه، فإن سكت الملك قام بين يديه، ثم لاحظه، فإن نظر إليه، مضى لحاجته.
97,فإذا رجع، قام ماثلاً بين يديه أبداً، وإن طال ذلك، حتى يوميء إليه بالقعود، فإذا قعد، فمقعياً أو جاثياً.
98,فإن نظر إليه، بعد قعوده، فهو إذنه له بالتمكن في قعوده.
99,وليس له أن يختار كمية ما يشرب ولا كيفيتها، إنما هذا إلى الملك، إلا أن من حقه على الملك أن يأمر بالعدل عليه، والنصفة له، ولا يجاوز به حد طاقته، ولا وسع استطاعته، فيخرج به من ميزان القسط، وحد القصد: لأنه لا يأمن أن يتلف نفساً، وهو يجد إلى إحيائها سبيلاً.
100,ومن أخلاق الملك السعيد أن يحرص على إحياء بطانته، حرصه على إحياء نفسه، إذ كان بهم نظامه.
101,[مراتب الندماء والمغنين] [لدى الفرس وفي الإسلام] وإذ قد انتهينا إلى هذا القانون من القول، فبنا حاجة إلى الإخبار عن مراتب الطبقات الثلاث من الندماء والمغنين، وإن كانت مراتبهم في كتاب الأغاني محصورة، فقد يجب ذكرها في هذا الموضع أيضاً، لأنها داخلة في أخلاق الملوك.
102,ولنبدأ بملوك العجم، إذ كانوا هم الأول في ذلك، وعنهم أخذنا قوانين الملك والمملكة، وترتيب الخاصة والعامة، وسياسة الرعية، وإلزام كل طبقة حظها، والاقتصار على جديلتها: كان أردشير بن بابك أول من رتب الندماء، وأخذ بزمام سياستهم، فجعلهم ثلاث طبقات: فكانت الأساورة وأبناء الملوك في الطبقة الأولى، وكان مجلس هذه الطبقة من الملك على عشرة أذرع من الستارة؛ ثم الطبقة الثانية، كان مجلسها من هذه الطبقة على عشرة أذرع وهم بطانة الملك وندماؤه ومحدثوه من أهل الشرف والعلم؛ ثم الطبقة الثالثة، كان مجلسهم على عشرة أذرع من الثانية، وهم المضحكون وأهل الهزل والبطالة.
103,غير أنه لم يكن، في هذه الطبقة الثالثة، خسيس الأصل ولا وضيعه ولا ناقص الجوارح، ولا فاحش الطول والقصر، ولا مؤوف، ولا مرسي بأبنةٍ، ولا مجهول الأبوين، ولا ابن صناعة دنيئة، كابن حائك أو حجام، ولو كان يعلم الغيب مثلاً.
104,وكان أردشير يقول: ما شيء أضر على نفس ملكٍ من معاشرة سخيفٍ، أو مخاطبة وضيعٍ؛ لأنه كما أن النفس تصلح على مخاطبة الشريف الأديب الحسيب، كذلك تفسد بمعاشرة الدنيء الخسيس حتى يقدح ذلك فيها، ويزيلها عن فضيلتها؛ وكما أن الربح إذا مرت بطيبٍ، حملت طيباً تحيا به النفس، وتقوى به جوارحها، كذلك إذا مرت بالنتن، فحملته، ألمت له النفس، وأضر بأعلاقها أضراراً تاماً.
105,[أقسام الناس] وكذلك جعل الناس على أقسام أربعة، وحصر كل طبقة على قسمتها: فالأول، الأساورة من أبناء الملوك؛ والقسم الثاني، النساك وسدنة بيوت النيران، والقسم الثالث، الأطباء والكتاب والمنجمون، والقسم الرابع، الزراع والمهان وأضرابهم.
106,وكان أردشير يقول: ما شيء أسرع في انتقال الدول، وخراب المملكة من انتقال هذه الطبقات عن مراتبها، حتى يرفع الوضيع إلى مرتبة الشريف، ويحط الشريف إلى مرتبة الوضيع.
107,وكان الذي يقابل الطبقة الأولى من الأساورة وأبناء الملوك، أهل الحذاقة بالموسيقيات والأغاني، فكانوا بإزاء هؤلاء نصب خط الاستواء.
108,وكان الذي يقابل الطبقة الثانية من ندماء االملك وبطانته، الطبقة الثانية من أصحاب الوسيقيات.
109,وكان الذي يقابل الطبقة الثالثة، من أصحاب الفكاهات والمضحكين أصحاب الونج والمعارف والطنابير، وكان لا يزمر الحاذق من الزامرين إلا على الحاذق من المغنين.
110,وإن أمره الملك بذلك، راجعه واحتج عليه.
111,وقلما كانت ملوك الأعاجم خاصة تأمر أن يزمر على المغني إلا من كان معه في أسلوب واحد، إذ لم يكن من شأنهم أن ينقلوا أحداً من طبقة وضيعة إلى طبقة رفيعة.
112,إلا أن الملك كان ربما غلب عليه السكر حتى يؤثر فيه، فيأمر الزامر الطبقة الثانية أو الثالثة أن يزمر على المغني من الطبقة الأولى، فيأبى ذلك، حتى إنه ربما ضربه الخدم بالمراوح والمذاب فيكون من اعتذاره أن يقول: إن كان ضربي بأمر الملك وعن رأيه، فإنه سيرضى عني إذا صحا، بلزومي مرتبتي.
113,وكان أردشير قد وكل غلامين ذكيين، لا يفارقان مجلسه، بحفظ ألفاظه عند الشرب والمنادمة.
114,فأخذهما يمل والآخر يكتب حرفاً حرفاً، وهذا إنما يفعلانه، إذا غلب عليه السكر، فإذا أصبح، ورفع عن وجهه الحجاب، قرأ عليه الكاتب كل ما لفظ به في مجلسه إلى أن نام.
115,فإذا قرأ به الزامر، ومخالفة الزامر أمره، دعا بالزامر، فخلع عليه وجزاه الخير، وقال: أصبت فيما فعلت، وأخطأ الملك فيما أمرك به.
116,فهذا ثواب صوابك، وكذلك العقوبة لمن أخطأ، وعقوبتي أن لا نزمزم اليوم غلا على خبز الشعير والجبن.
117,فلم يطعم في يومه ذلك غيرهما.
118,وما ذاك إلا حثاً على لزوم سنتهم، وحفظ نواميسهم، وأخذ العامة بالسياسة التامة، والأمر اللازم.
119,[انقلاب الحال في عهد بهرام جور] فلم يزل على ذلك ملوك الأعاجم، حتى ملك بهرام جور بن يزدجرد، فأقر مرتبة الأشراف وأبناء الملوك، وسدنة بيوت النيران على ما كانت، وسوى بين الطبقتين من الندماء والمغنين، ورفع من أطربه، وإن كان في أوضع الدرجات، إلى الدرجة الأولى، وحط من قصر عن إرادته إلى الطبقة الثانية، فأفسد سيرة أردشير في المغنين وأصحاب الملاهي خاصةً، فلم يزل الأمر على ذلك، حتى ملك كسرى أنوشروان، فرد الطبقات إلى مراتبها الأولى.
120,الستار بين ملوك الأعاجم كلها من لدن أردشير بن بابك إلى يزدجرد تحتجب عن الندماء بستارة، فكان يكون بينه وبين أول الطبقات عشرون ذراعاً لأن الستارة من الملك على عشرة أذرع، والستارة من الطبقة الأولى على عشرة أذرع.
121,وكان الموكل بحفظ الستارة رجلاً من أبناء الأساورة، يقال له خرم باش، فإذا مات هذا الرجل، وكل بها آخر من أبناء الأساورة، وسمي بهذا فكان خرم باش، إذا جلس الملك لندمائه وشغله، أمر رجلاً أن يرتفع على أعلى مكان في قرار دار الملك، ويغرد بصوت رفيع يسمعه كل من حضر، فيقول: يا لسان، احفظ رأسك فإنك تجالس في هذا اليوم ملك الملوك! ثم ينزل.
122,فكان هذا فعلهم في كل يوم يجلس فيه الملك للهوه، ولا يجتريء أحد من خلق الله أن يدير لسانه في فيه بخير ولا غيره، حتى تحرك الستارة، فيطلع القائم عليها، فيؤمر بأمرٍ فينفذه، ويقول: افعل يا فلان كذا، وتغني، يا فلان، كذا وكذا.
123,وكان الندماء من العظماء والأشراف وأبناء الملوك وإخوة الملك وعمومته وبني عمه، وأوضع الطبقات في مجلس الملك في نقابٍ واحدٍ إطراقاً وإخباتاً وسكون طائر، وقلة حركة.
124,فلم يزل أمر الملوك من الأعاجم كذلك، حتى ملك الأردوان الأحمر، فكان يقول: من كانت له منكم حاجة، فليكتبها في رقعة، وليرفعها قبل شغلي، فأفهم ما فيها، ويخرج إليه أمري، وعقلي صحيح، وفكري جامع.
125,فمن سأل، في غير هذا الوقت، حاجةً، ضربت عنقه، وهو أول من فتح هذا.
126,وكان لا يرد سائلاً، ولا يعطي مبتدئاً.
127,فلم يزل الأمر على ذلك، حتى ملك بهرام جور، فكان يقول للندماء: إذا رأيتموني قد طربت، وخرجت من باب الجد إلى باب الهزل، فسلوا حوائجكم.
128,وكان يوكل بحوائجهم صاحب الستارة.
129,فكان إذا سكر، مد الناس أيديهم برقاعهم، فأخذها صاحب الستارة، فأنفذها إليه، فأخذها بيده، وضمها عليها، ثم رمى بها من غير أن ينظر في شيء منها، ويقول: أنفذوا كل ما فيها.
130,فكان ذلك ربما بلغ في ليلة واحدة من سؤالٍ في إقطاع أو قضاء دينٍ أو طلب منحة ألف ألفٍ أو أكثر، إلا أن ذلك لم يكن تباعاً.
131,وكان إذا رفع أحدهم في رقعته ما ليس يجوز لمثله، وهو خارج من حد القصد وادخل في باب الإفراط، لم تقض له حاجة، وسمي جاهلاً، ولم تؤخذ له رقعة بعدها أبداً.
132,[في عهد الأمويين] ثم لم يكن ذلك، بعد، في أخلاق الملوك من الأعاجم والعرب حتى ملك يزيد بن عبد الملك، فسوى بين الطبقة العليا والسفلى، وأفسد أقسام المراتب، وغلب عليه اللهو، واستخف بآيين المملكة، وأذن للندماء في الكلام والضحك والهزل في مجلسه والرد عليه.
133,وهو أول من شتم في وجهه من الخلفاء، على جهة الهزل والسخف.
134,قلت لإسحق بن إبراهيم: هل كانت الخلفاء من بني أمية تظهر للندماء والمغنين؟
135,قال: أما معاوية ومروان وعبد الملك والوليد وسليمان وهشام ومروان بن محمد، فكان بينهم وبين الندماء ستارة.
136,وكان لا يظهر أحد من الندماء على ما يفعله الخليفة، إذا طرب للمغنى والتذه، حتى ينقلب ويمشي ويحرك كتفيه، ويرقص، ويتجرد حيث لا يراه إلا خواص جواريه.
137,إلا أنه كان، إذا ارتفع من خلف الستارة، صوت أو نعير طرب أو رقص أو حركة بزفيرٍ تجاوز المقدار، قال صاحب الستارة: حسبك يا جارية! كفي! انتهى! أقصري! يوهم الندماء أن الفاعل لذلك بعض الجواري.
138,فأما الباقون من خلفاء بني أمية، فلم يكونوا يتحاشون أن يرقصوا أو يتجردوا، ويحضروا عراةً بحضرة الندماء والمغنين.
139,وعلى ذلك، لم يكن أحد منهم في مثل حال يزيد بن عبد الملك، والوليد بن يزيد في المجون والرفث بحضرة الندماء، والتجرد، ما يباليان ما صنعا.
140,قلت: فعمر بن عبد العزيز؟
141,قال: ما طن في سمعه حرف غناء، منذ أفضت الخلافة إليه إلى أن فارق الدنيا.
142,فأما قبلها، وهو أمير المدينة، فكان يسمع الغناء، ولا يظهر منه إلا الأمر الجميل.
143,وكان ربما صفق بيديه، وربما تمرغ على فراشه، وضرب برجليه وطرب.
144,فأما أن يخرج عن مقدار السرور إلى السخف، فلا.
145,في عهد العباسيين: قلت: فخلفاؤنا؟
146,قال: كان أبو العباس في أول أيامه يظهر للندماء، ثم احتجب عنهم بعد سنة.
147,أشار بذلك عليه أسيد بن عبد الله الخزاعي؛ وكان يطرب ويبتهج ويصيح من وراء الستارة: أحسنت والله! أعد هذا الصوت! فيعاد له مراراً.
148,فيقول في كلها: أحسنت.
149,وكانت فيه فضيلة لا تجدها في أحد؛ كان لا يحضره نديم ولا مغنٍ ولا ملهٍ، فينصرف، إلا بصلةٍ أو كسوةٍ، قلت أم كثرت.
150,وكان لا يؤخر إحسان محسنٍ لغدٍ، ويقول: العجب ممن يفرح أنساناً، فيتعجل السرور، ويجعل ثواب من سره تسويفاً وعدةً؛ فكان في كل يومٍ وليلة يقعد فيه لشغله، لا ينصرف أحد ممن حضره إلا مسروراً.
151,ولم يكن هذا لعربي ولا عجمي قبله؛ غير أنه يحكى عن بهرام جورٍ ما يقارب هذا.
152,فأما أبو جعفر المنصور، فلم يكن يظهر لنديم قط، ولا رآه أحد يشرب غير الماء.
153,وكان بينه وبين الستارة عشرون ذراعاً، وبين الستارة والندماء مثلها؛ فإذا غناه المغني فأطربه، حركت الستارة بعض الجواري، فاطلع إليه الخادم صاحب الستارة فيقول: قل له: أحسنت، بارك الله فيك! ؛ وربما أراد أن يصفق بيديه، فيقوم عن مجلسه، ويدخل بعض حجر نسائه، فيكون ذاك هناك، وكان لا يثيب أحداً من ندمائه وغيرهم درهماً، فيكون له رسماً في ديوان.
154,ولم يقطع أحداً ممن كان يضاف إلى ملهيةٍ أو ضحك أو هزلٍ، موضع قدم من الأرض.
155,وكان يحفظ كل ما أعطى واحداً منهم عشر سنين، ويحسبه، ويذكره له.
156,وكان أبو جعفر المنصور يقول: من صنع مثل ما صنع إليه، فقد كافأ، ومن أضعف، كان مشكوراً، ومن شكر، كان كريماً، ومن علم أن ما صنع، فإلى نفسه صنع، لم يستبطيء الناس في شكرهم، ولم يستزدهم في مودتهم.
157,ولا تلتمس في غيرك شكر ما أتيته إلى نفسك ووقيت به عرضك.
158,وأعلم أن الطالب إليك الحاجة، لم يكرم وجهه عن مسألتك، فأكرم وجهك عن رده.
159,وكان المهدي في أول أمره يحتجب عن الندماء، متشبهاً بالمنصور نحواً من سنة، ثم ظهر لهم.
160,فأشار عليه أبو عونٍ بأن يحتجب عنهم، فقال: إليك عني، يا جاهل! إنما اللذة في مشاهدة السرور وفي لدنو من سرني.
161,فأما من وراء وراء، فما خيرها ولذتها؟
162,ولو لم يكن في الظهور للندماء والإخوان إلا أني أعطيهم من السرور بمشاهدتي مثل الذي يعطونني من فوائدهم، لجعلت لهم في ذلك حظاً موفراً.
163,وكان كثير العطايا، وافرها، قل من حضره إلا أغناه.
164,وكان لين العريكة، سهل الشريعة، لذيذ المنادمة، قصير المناومة، ما يمل نديماً ولا يتركه إلا عن ضرورة، قطيع الخنا، صبوراً على الجلوس، ضاحك السن، قليل الأذى والبذاء.
165,وكان الهادي شكس الأخلاق، صعب المرام، قليل الإغضاء، سيء الظن.
166,قل من توقاه وعرف أخلاقه، إلا أغناه.
167,وما كان شيء أبغض إليه من ابتدائه بسؤال.
168,وكان يأمر للمغني بالمال الخطير الجزيل، فيقول: لا يعطيني بعدها شيئاً، فيعطيه، بعد أيام، مثل تلك العطية.
169,ويقال: إنه قال يوماً، وعنده ابن جامع وإبراهيم الموصلي ومعاذ ابن الطبيب، وكان أول من دخل عليه معاذ، وكان حاذقاً بالأغاني، عارفاً بها: من أطربني اليوم منكم، فله حكمه.
170,فأعاد، فقال: أنت صاحبي، فاحتكم.
